Nom_Intersection,Longitude,Latitude,total
Léry (pl) / Sherbrooke,-73.616929,45.555554,13637
Jarry / Lorimier,-73.579679,45.471949,12237
Saint-Patrick / Face au 3552 Saint-Patrick,-73.586854,45.527397,5219
Berri / Saint-Joseph,-73.586484,45.52779,13151
Resther / Saint-Joseph,-73.58609,45.528212,12724
Saint-Hubert / Saint-Joseph,-73.585087,45.529274,14040
rue de Mentana / boulevard Saint-Joseph,-73.58595,45.525342,13661
Gilford / Saint-Denis,-73.661489,45.566792,10714
Gouin / 1635 Est,-73.642551,45.563494,1413
Louvain / Papineau,-73.635737,45.502453,23349
Barclay / Côte-des-Neiges,-73.615617,45.495399,18852
Côte-des-Neiges / Decelles,-73.62431,45.497236,15217
Côte-des-Neiges / Edouard-Montpetit,-73.619034,45.49502,16737
Côte-des-Neiges / Queen-Mary,-73.632186,45.500856,19867
Côte-des-Neiges / Van Horne,-73.581729,45.496564,20447
Côte-des-Neiges / Guy/Sherbrooke,-73.627459,45.498649,22169
Côte-des-Neiges / Côte-Sainte-Catherine,-73.622343,45.530129,22777
Jean-Talon / Parc,-73.569435,45.512499,41696
Saint-Laurent / Sherbrooke,-73.570043,45.511112,53123
Saint-Urbain / Sherbrooke,-73.565561,45.521365,50241
Atateken / Sherbrooke,-73.567462,45.51691,40016
Saint-Denis / Sherbrooke,-73.588292,45.516206,42508
Côte-Sainte-Catherine / Parc,-73.61021,45.525753,46083
Parc / Van Horne,-73.575111,45.515042,76487
Pins / Saint-Laurent,-73.582804,45.516829,51993
Rachel / Saint-Urbain,-73.591357,45.522375,35875
Saint-Joseph / Saint-Laurent,-73.592417,45.521178,55026
Saint-Joseph / Saint-Urbain,-73.574344,45.525662,24305
Christophe-Colomb / Parc-La Fontaine/Rachel,-73.578181,45.521812,28991
Rachel / Saint-Denis,-73.587898,45.526233,52098
Saint-Denis / Saint-Joseph,-73.579525,45.535206,57688
Papineau / Saint-Joseph,-73.605007,45.533979,50255
Beaubien / Saint-Denis,-73.612012,45.542484,39177
Christophe-Colomb / Jean-Talon,-73.594987,45.534899,59609
Christophe-Colomb / Rosemont,-73.628498,45.543754,38230
Jarry / Lajeunesse,-73.629192,45.542588,36047
Jarry / Saint-Denis,-73.614433,45.538299,48510
Jean-Talon / Saint-Denis,-73.59849,45.531019,60180
